A,B,i_merge_id,j_merge_id,i_text,j_text,i_addressees,A_gender,A_category,B_gender,B_category
Alexis Ivanovitch,Antonida Vassilievna Tarassevitcha,455,457,Half past eight,Away with you you rascals What have my affairs to do with you Why in particular do you come sneaking here with your goat s beard And what do you want of me What are you finicking for,Antonida Vassilievna Tarassevitcha; Martha; Potapitch,M,major,F,major
Mlle. Blanche,Antonida Vassilievna Tarassevitcha,458,460,Diantre Elle vivra cent ans,Call Prascovia,Alexis Ivanovitch; Antonida Vassilievna Tarassevitcha; Marqis De Griers; Martha; Potapitch; The General,F,intermediate,F,major
Polina Alexandrovna,Alexis Ivanovitch,470,472,I mean only that I cannot come just yet At all events I could not well leave my little brother and sister here since since if I were to leave them they would be abandoned altogether But if Grandmamma you would take the little ones and myself then of course I could come with you and would do all I could to serve you Only without the little ones I cannot come,For every one seems to know about that affair Or perhaps I am the only one who does not know about it,Alexis Ivanovitch; Antonida Vassilievna Tarassevitcha; Martha; Potapitch,F,major,M,major
Polina Alexandrovna,Antonida Vassilievna Tarassevitcha,474,476,But let me stay with you a little longer,And good bye to you also Alexis Ivanovitch The train starts in an hour s time and I think that you must be weary of me Take these five hundred g lden for yourself,Alexis Ivanovitch; Antonida Vassilievna Tarassevitcha; Martha; Potapitch,F,major,F,major
Antonida Vassilievna Tarassevitcha,Alexis Ivanovitch,475,477,No you need not Do not bother me for you and all of them have tired me out,I thank you humbly Madame but I am ashamed to,Alexis Ivanovitch; Martha; Polina Alexandrovna; Potapitch,F,major,M,major
Alexis Ivanovitch,Potapitch,477,479,I thank you humbly Madame but I am ashamed to,Sir my mistress is asking for you,Antonida Vassilievna Tarassevitcha; Martha; Potapitch,M,major,M,minor
Antonida Vassilievna Tarassevitcha,Alexis Ivanovitch,478,480,Come come If when in Moscow you have no place where you can lay your head come and see me and I will give you a recommendation Now Potapitch get things ready,Indeed But she is just departing is she not The train leaves in ten minutes time,Alexis Ivanovitch; Martha; Potapitch,F,major,M,major
Potapitch,Alexis Ivanovitch,481,483,She is uneasy sir she cannot rest Come quickly sir do not delay,But whither Madame,Alexis Ivanovitch,M,minor,M,major
Alexis Ivanovitch,Potapitch,487,489,Pardon me but I have nothing to reproach myself with I merely will not go I merely intend neither to witness nor to join in your play I also beg to return you your five hundred g lden Farewell,You treated her as a gentleman should but he he robbed her right and left as I could see with my own eyes Twice she caught him at it and rated him soundly On one occasion she even pulled his hair so that the bystanders burst out laughing Yet she lost everything sir that is to say she lost all that you had changed for her Then we brought her home and after asking for some water and saying her prayers she went to bed So worn out was she that she fell asleep at once May God send her dreams of angels And this is all that foreign travel has done for us Oh my own Moscow For what have we not at home there in Moscow Such a garden and flowers as you could never see here and fresh air and apple trees coming into blossom and a beautiful view to look upon Ah but what must she do but go travelling abroad Alack alack,Antonida Vassilievna Tarassevitcha; Potapitch,M,major,M,minor
Potapitch,Alexis Ivanovitch,489,491,You treated her as a gentleman should but he he robbed her right and left as I could see with my own eyes Twice she caught him at it and rated him soundly On one occasion she even pulled his hair so that the bystanders burst out laughing Yet she lost everything sir that is to say she lost all that you had changed for her Then we brought her home and after asking for some water and saying her prayers she went to bed So worn out was she that she fell asleep at once May God send her dreams of angels And this is all that foreign travel has done for us Oh my own Moscow For what have we not at home there in Moscow Such a garden and flowers as you could never see here and fresh air and apple trees coming into blossom and a beautiful view to look upon Ah but what must she do but go travelling abroad Alack alack,She is gambling away everything that she has,Alexis Ivanovitch,M,minor,M,major
The Lacquey,Alexis Ivanovitch,497,499,the compliments of a certain person,But General possibly Mlle Blanche has scarcely even remarked my existence What could I do with her,Alexis Ivanovitch,M,minor,M,major
The Nursemaid,Alexis Ivanovitch,505,507,There is nothing new to report sir,Why the fact that you are here,Alexis Ivanovitch,F,minor,M,major
"A Modestly, Plainly Dressed Lady",Alexis Ivanovitch,524,526,Yes for God s sake go,I have won two hundred thousand francs Shall I put the money there until tomorrow Polina here are twenty five thousand florins fifty thousand francs or more Take them and tomorrow throw them in De Griers face Or if you should prefer let me take them to him myself tomorrow yes early tomorrow morning Shall I,Alexis Ivanovitch,F,minor,M,major
The Landlord,Alexis Ivanovitch,539,541,Oh these Russians,And she is in your rooms,Alexis Ivanovitch,M,minor,M,major
Mlle. Blanche,Alexis Ivanovitch,576,578,Certainly Does that surprise you very much Ah vil esclave Why one month of that life would be better than all your previous existence One month et apr s le d luge Mais tu ne peux comprendre Va Away away You are not worth it Ah que fais tu Eh bien mon utchitel je t attends si tu veux I start in a quarter of an hour s time,To Paris to Paris Every man of birth must make her acquaintance Within a month from now I shall be back again in Roulettenberg and then I mean to have it out with you Mr Astley,Alexis Ivanovitch,F,intermediate,M,major
The General,Mlle. Blanche,597,599,My unfortunate children Yes sir they are unfortunate children,Il a de la chance for the Grandmother is now really ill and therefore bound to die Mr Astley has just sent a telegram to say so and you will agree with me that the General is likely to be her heir Even if he should not be so he will not come amiss since in the first place he has his pension and in the second place he will be content to live in a back room whereas I shall be Madame General and get into a good circle of society and become a Russian ch telaine Yes I shall have a mansion of my own and peasants and a million of money at my back,Alexis Ivanovitch; Mlle. Blanche,M,intermediate,F,intermediate
The General,Alexis Ivanovitch,598,600,She is an ungrateful woman She is a bad and ungrateful woman She has broken up a family If there were laws here I would have her impaled Yes I would He has ruined me He has robbed me and cut my throat For two years he was a perfect nightmare to me For months at a time he never left me in my dreams Do not speak of him again,But suppose he should prove jealous He might demand all sorts of things you know Do you follow me,Alexis Ivanovitch,M,intermediate,M,major
Mlle. Blanche,Alexis Ivanovitch,605,607,I must behave altogether differently Yet mark you there is a tiresome circumstance of which I had never before thought which is how best to pronounce my new family name Zagorianski Zagozianski Madame la G n rale de Sago Madame la G n rale de Fourteen Consonants oh these infernal Russian names The last of them would be the best to use don t you think Tu tais bon enfant Je te croyais b te et tu en avais l air but it suited you Attends They may come in handy for you for though you are a very learned tutor you are a very stupid man More than two thousand francs however I am not going to give you for the reason that if I did so you would gamble them all away Now good bye Nous serons toujours bons amis and if you win again do not fail to come to me et tu seras heureux,How closely you watch the doings of your old friends That does you infinite credit But stop a moment You have reminded me of something Was it you who bailed me out of Roulettenberg prison when I was lying there for a debt of two hundred g lden someone did so,Alexis Ivanovitch,F,intermediate,M,major
